reseller_id,onboarding_date,city_tier,total_gmv,orders_last_30_days,avg_order_value,category_focus,social_shares,buyer_network_size,return_rate,days_since_last_sale,completed_onboarding_training,engagement_score,monetization_score,churn_risk_score,reseller_segment_fixed
23,5/28/2023,Tier2,6198,2,763,Mixed,113,39,0.13,2,FALSE,34,52,27,Low-Engagement Reseller
24,7/31/2023,Tier3,12718,2,598,Fashion,124,41,0.09,22,TRUE,77,53,31,Social Catalyst
25,2/6/2023,Tier3,2222,0,769,Beauty,5,0,0.12,174,FALSE,2,49,63,Niche Specialist
26,4/17/2023,Tier3,5957,0,503,Fashion,5,6,0.06,136,FALSE,2,44,56,Ghost Reseller
27,12/12/2023,Tier3,6340,1,310,Fashion,183,59,0.09,7,TRUE,95,36,30,Social Catalyst
28,11/13/2023,Tier2,61180,1,792,Fashion,170,56,0.05,25,FALSE,51,110,33,Social Catalyst
29,11/12/2024,Tier4+,3543,5,563,Fashion,36,14,0.12,3,FALSE,11,42,23,Low-Engagement Reseller
30,4/21/2024,Tier2,4342,5,464,Beauty,163,44,0.05,13,TRUE,89,41,25,Niche Specialist
31,11/17/2023,Tier4+,6290,2,300,Home,142,43,0.1,6,FALSE,43,36,28,Niche Specialist
32,8/19/2023,Tier2,2173,5,476,Fashion,11,1,0.08,29,FALSE,3,38,28,Low-Engagement Reseller
33,10/10/2024,Tier3,8806,0,773,Home,4,0,0.09,286,TRUE,41,56,85,Ghost Reseller
34,8/29/2024,Tier2,11610,2,375,Fashion,140,37,0.08,24,FALSE,42,44,32,Social Catalyst
35,4/26/2023,Tier3,6443,2,533,Mixed,71,23,0.13,28,FALSE,21,44,32,Low-Engagement Reseller
36,3/28/2023,Tier4+,2357,0,739,Fashion,0,0,0.15,58,FALSE,0,47,41,Low-Engagement Reseller
37,8/6/2024,Tier3,6238,3,406,Home,194,62,0.09,4,FALSE,58,40,26,Niche Specialist
38,5/27/2023,Tier2,13586,3,709,Mixed,92,31,0.15,6,FALSE,28,57,27,Low-Engagement Reseller
39,3/23/2023,Tier4+,9279,0,469,Home,0,5,0.12,243,FALSE,0,44,77,Ghost Reseller
40,11/28/2023,Tier4+,6824,1,539,Fashion,48,9,0.09,7,FALSE,14,45,30,Low-Engagement Reseller
41,2/12/2023,Tier2,3174,5,740,Fashion,162,54,0.14,13,TRUE,89,48,25,Social Catalyst
42,12/10/2024,Tier3,2862,2,784,Fashion,169,53,0.1,21,TRUE,91,50,31,Social Catalyst
43,11/10/2023,Tier4+,3496,2,564,Fashion,98,30,0.07,1,FALSE,29,43,27,Social Catalyst
44,5/3/2023,Tier3,6189,0,502,Home,2,0,0.14,98,FALSE,1,42,49,Ghost Reseller
45,1/21/2023,Tier4+,5415,0,472,Fashion,0,5,0.06,240,FALSE,0,42,76,Ghost Reseller
46,7/18/2023,Tier3,7435,0,466,Home,1,0,0.05,216,FALSE,0,44,71,Ghost Reseller
47,8/27/2023,Tier3,2542,0,410,Home,4,0,0.05,92,TRUE,41,37,48,Niche Specialist
48,7/28/2024,Tier4+,6860,0,653,Fashion,5,2,0.13,124,FALSE,2,49,54,Ghost Reseller
49,5/4/2023,Tier4+,2200,0,434,Beauty,2,0,0.15,282,FALSE,1,35,84,Niche Specialist
50,6/9/2023,Tier2,1137,4,401,Fashion,122,35,0.05,24,FALSE,37,35,29,Social Catalyst
51,4/14/2024,Tier4+,3483,0,479,Mixed,3,4,0.08,219,FALSE,1,40,72,Low-Engagement Reseller
52,12/14/2024,Tier2,12577,0,464,Beauty,5,0,0.12,233,TRUE,42,48,75,Ghost Reseller
53,2/3/2023,Tier4+,9470,2,719,Fashion,28,10,0.15,6,FALSE,8,53,28,Low-Engagement Reseller
54,10/2/2024,Tier3,3592,1,559,Fashion,101,34,0.08,15,FALSE,30,43,31,Social Catalyst
55,7/4/2024,Tier3,1355,0,656,Mixed,4,6,0.06,248,TRUE,41,45,78,Low-Engagement Reseller
56,11/2/2023,Tier3,4610,0,444,Beauty,4,3,0.11,341,TRUE,41,39,95,Niche Specialist
57,1/5/2023,Tier4+,2698,0,798,Fashion,2,4,0.06,265,FALSE,1,51,81,Low-Engagement Reseller
58,9/3/2023,Tier3,1095,1,463,Fashion,11,2,0.07,5,TRUE,43,37,29,Low-Engagement Reseller
59,7/22/2023,Tier2,4923,0,448,Home,4,1,0.11,226,TRUE,41,40,73,Niche Specialist
60,7/27/2023,Tier3,5513,0,691,Fashion,0,1,0.09,55,FALSE,0,50,41,Ghost Reseller
61,7/14/2024,Tier3,5365,2,654,Fashion,114,30,0.13,4,FALSE,34,47,28,Social Catalyst
62,7/2/2024,Tier4+,20837,1,324,Home,147,49,0.08,20,FALSE,44,51,32,Niche Specialist
63,7/17/2024,Tier3,1469,4,421,Mixed,65,22,0.06,21,TRUE,60,36,28,Low-Engagement Reseller
64,11/2/2023,Tier3,2464,0,406,Beauty,5,0,0.05,61,FALSE,2,37,42,Niche Specialist
65,2/26/2023,Tier4+,6521,1,403,Home,60,15,0.09,11,TRUE,58,40,31,Niche Specialist
66,12/17/2024,Tier2,2880,2,462,Home,49,11,0.12,2,FALSE,15,38,27,Niche Specialist
67,2/8/2023,Tier3,11251,5,419,Home,131,44,0.14,7,FALSE,39,44,24,Super-Spreader
68,5/4/2023,Tier3,4328,0,732,Beauty,4,0,0.08,314,FALSE,1,50,90,Niche Specialist
69,8/11/2023,Tier3,2249,0,661,Fashion,1,3,0.07,309,TRUE,40,46,89,Low-Engagement Reseller
70,10/14/2023,Tier3,867,0,498,Home,0,0,0.08,152,FALSE,0,38,59,Low-Engagement Reseller
71,6/21/2024,Tier4+,857,0,670,Home,2,5,0.15,220,TRUE,41,43,72,Low-Engagement Reseller
72,3/10/2023,Tier3,673,0,395,Fashion,3,0,0.08,84,FALSE,1,34,46,Low-Engagement Reseller
73,12/10/2023,Tier4+,7530,2,764,Beauty,60,16,0.11,5,TRUE,58,54,28,Niche Specialist
74,6/6/2023,Tier3,763,4,770,Mixed,79,20,0.07,3,FALSE,24,48,25,Low-Engagement Reseller
75,12/17/2023,Tier3,363,0,335,Fashion,3,5,0.12,206,TRUE,41,31,70,Low-Engagement Reseller
76,8/28/2023,Tier3,6447,0,690,Fashion,2,6,0.05,215,TRUE,41,51,71,Ghost Reseller
77,4/20/2023,Tier3,1691,1,574,Home,140,45,0.09,9,TRUE,82,41,30,Low-Engagement Reseller
78,1/24/2024,Tier3,6625,1,610,Beauty,101,30,0.06,28,TRUE,70,48,34,Niche Specialist
79,4/8/2024,Tier3,7214,2,584,Fashion,43,16,0.15,19,FALSE,13,46,31,Low-Engagement Reseller
80,12/4/2024,Tier4+,8257,0,704,Fashion,5,1,0.11,180,TRUE,42,52,65,Ghost Reseller
81,8/5/2024,Tier3,6006,0,368,Fashion,4,6,0.05,143,TRUE,41,39,57,Ghost Reseller
82,2/4/2023,Tier2,3731,2,756,Fashion,174,47,0.09,26,FALSE,52,50,32,Social Catalyst
83,7/2/2023,Tier4+,5757,2,407,Fashion,167,53,0.07,4,FALSE,50,40,28,Social Catalyst
84,2/8/2023,Tier3,2489,0,328,Beauty,3,2,0.09,261,FALSE,1,33,80,Niche Specialist
85,10/13/2023,Tier4+,2766,0,628,Fashion,1,5,0.14,59,FALSE,0,44,41,Low-Engagement Reseller
86,8/19/2023,Tier4+,1416,1,666,Home,136,46,0.11,11,FALSE,41,44,31,Low-Engagement Reseller
87,6/26/2023,Tier4+,5340,0,402,Fashion,1,0,0.1,91,TRUE,40,38,47,Ghost Reseller
88,4/2/2024,Tier2,3039,0,514,Fashion,1,5,0.09,201,FALSE,0,41,69,Low-Engagement Reseller
89,5/4/2024,Tier4+,6248,0,656,Beauty,0,3,0.06,106,FALSE,0,50,50,Ghost Reseller
90,3/3/2023,Tier3,21653,0,537,Home,0,0,0.11,300,FALSE,0,60,88,Ghost Reseller
91,5/2/2024,Tier3,2311,1,764,Fashion,85,26,0.06,7,TRUE,66,50,30,Social Catalyst
92,11/12/2023,Tier3,2889,0,499,Home,1,0,0.08,234,TRUE,40,40,75,Niche Specialist
93,2/6/2023,Tier3,3459,2,497,Fashion,25,4,0.12,27,FALSE,8,40,32,Low-Engagement Reseller
94,12/28/2024,Tier4+,1646,1,581,Mixed,170,49,0.15,8,FALSE,51,40,30,Low-Engagement Reseller
95,1/2/2023,Tier4+,6101,0,526,Beauty,3,0,0.1,317,FALSE,1,44,91,Ghost Reseller
96,1/9/2024,Tier3,4451,0,612,Mixed,3,0,0.12,123,TRUE,41,45,54,Low-Engagement Reseller
97,4/17/2023,Tier3,4799,1,658,Home,17,1,0.09,0,FALSE,5,48,29,Niche Specialist
98,6/20/2024,Tier2,4338,0,425,Home,2,2,0.1,62,FALSE,1,38,42,Niche Specialist
99,3/11/2024,Tier4+,8337,0,566,Home,5,0,0.12,208,FALSE,2,47,70,Ghost Reseller
100,11/4/2023,Tier4+,6156,0,557,Beauty,0,0,0.13,121,TRUE,40,44,53,Ghost Reseller
101,11/14/2024,Tier4+,417,0,550,Beauty,0,3,0.15,277,FALSE,0,38,83,Low-Engagement Reseller
102,10/23/2024,Tier2,3200,4,787,Fashion,13,6,0.06,17,FALSE,4,52,27,Low-Engagement Reseller
103,4/29/2023,Tier3,1702,0,506,Fashion,5,2,0.06,232,FALSE,2,39,74,Low-Engagement Reseller
104,10/26/2023,Tier2,7006,0,405,Fashion,1,0,0.12,110,FALSE,0,40,51,Ghost Reseller
105,2/28/2024,Tier3,1042,2,594,Beauty,167,48,0.09,18,FALSE,50,42,30,Low-Engagement Reseller
106,7/21/2024,Tier3,34815,0,694,Fashion,1,3,0.08,163,TRUE,40,79,61,Ghost Reseller
107,9/28/2024,Tier3,2664,0,355,Mixed,3,0,0.15,248,FALSE,1,33,78,Low-Engagement Reseller
108,9/9/2023,Tier3,901,0,706,Home,5,5,0.1,148,TRUE,42,45,58,Low-Engagement Reseller
109,10/1/2023,Tier4+,20835,0,661,Beauty,2,6,0.08,340,TRUE,41,64,95,Ghost Reseller
110,8/3/2023,Tier3,1576,0,619,Home,5,5,0.14,95,TRUE,42,42,48,Low-Engagement Reseller
111,3/23/2023,Tier2,1794,0,552,Fashion,2,6,0.12,167,FALSE,1,40,62,Low-Engagement Reseller
112,10/21/2024,Tier2,5351,0,327,Fashion,5,5,0.14,88,TRUE,42,35,47,Ghost Reseller
113,5/11/2024,Tier3,7048,0,702,Fashion,1,0,0.14,267,FALSE,0,51,81,Ghost Reseller
114,11/13/2023,Tier4+,5146,5,497,Home,147,49,0.08,14,FALSE,44,42,25,Niche Specialist
115,10/3/2023,Tier2,10539,0,431,Fashion,3,5,0.15,64,FALSE,1,44,42,Ghost Reseller
116,7/8/2024,Tier3,26587,2,726,Fashion,149,44,0.05,30,FALSE,45,73,33,Social Catalyst
117,6/30/2023,Tier2,2355,0,518,Home,2,0,0.12,35,TRUE,41,39,37,Niche Specialist
118,9/1/2024,Tier3,13475,0,663,Home,4,3,0.08,365,FALSE,1,57,100,Ghost Reseller
119,7/13/2023,Tier3,1226,0,754,Beauty,0,0,0.12,39,FALSE,0,47,37,Low-Engagement Reseller
120,12/18/2024,Tier4+,591,1,483,Fashion,44,14,0.11,21,TRUE,53,37,33,Low-Engagement Reseller
121,8/31/2023,Tier3,5902,1,384,Fashion,123,33,0.13,16,TRUE,77,38,32,Social Catalyst
122,7/10/2023,Tier3,11493,2,350,Mixed,36,15,0.12,4,TRUE,51,42,28,Low-Engagement Reseller
123,5/5/2023,Tier3,8513,1,703,Fashion,162,45,0.05,27,TRUE,89,54,34,Social Catalyst
124,9/23/2023,Tier2,3226,1,356,Beauty,163,50,0.12,6,TRUE,89,34,30,Niche Specialist
125,11/25/2024,Tier2,3709,2,607,Fashion,138,36,0.06,17,TRUE,81,45,30,Social Catalyst
126,11/6/2023,Tier4+,1091,0,731,Mixed,0,5,0.14,86,FALSE,0,46,46,Low-Engagement Reseller
127,1/1/2024,Tier3,642,0,476,Fashion,4,0,0.07,264,TRUE,41,37,81,Low-Engagement Reseller
128,12/12/2024,Tier4+,3206,2,415,Fashion,180,53,0.06,0,TRUE,94,38,27,Social Catalyst
129,9/30/2024,Tier3,4297,0,711,Beauty,0,5,0.08,134,TRUE,40,49,56,Niche Specialist
130,2/28/2023,Tier4+,345,0,746,Home,5,6,0.12,360,FALSE,2,46,99,Low-Engagement Reseller
131,1/13/2024,Tier3,5146,0,311,Fashion,5,0,0.1,196,FALSE,2,35,68,Ghost Reseller
132,10/7/2024,Tier2,1731,0,516,Fashion,1,1,0.1,263,FALSE,0,39,80,Low-Engagement Reseller
133,10/2/2024,Tier3,2616,0,402,Fashion,0,0,0.15,211,FALSE,0,35,70,Low-Engagement Reseller
134,12/17/2024,Tier4+,1456,2,537,Fashion,30,10,0.13,5,TRUE,49,39,28,Low-Engagement Reseller
135,3/13/2024,Tier3,4721,11,437,Fashion,95,29,0.06,0,TRUE,69,40,14,Social Catalyst
136,4/22/2024,Tier2,1299,0,711,Mixed,4,1,0.05,73,FALSE,1,47,44,Low-Engagement Reseller
137,11/10/2023,Tier3,8468,0,652,Mixed,3,0,0.05,183,FALSE,1,52,65,Ghost Reseller
138,7/12/2024,Tier4+,6560,3,695,Home,71,16,0.08,29,TRUE,61,51,31,Niche Specialist
139,12/1/2024,Tier3,1220,7,523,Home,10,0,0.12,6,FALSE,3,38,21,Low-Engagement Reseller
140,9/1/2024,Tier4+,19420,1,503,Home,91,31,0.08,7,TRUE,67,57,30,Niche Specialist
141,9/26/2024,Tier4+,2320,0,745,Fashion,1,0,0.11,96,FALSE,0,48,48,Low-Engagement Reseller
142,4/1/2023,Tier4+,7165,0,503,Fashion,0,0,0.12,286,FALSE,0,44,85,Ghost Reseller
143,1/14/2023,Tier3,6089,0,517,Fashion,4,1,0.05,224,FALSE,1,44,73,Ghost Reseller
144,12/17/2024,Tier4+,60878,2,414,Home,109,29,0.07,29,TRUE,73,95,33,Niche Specialist
145,3/23/2023,Tier4+,3263,0,457,Fashion,2,0,0.12,341,TRUE,41,38,95,Low-Engagement Reseller
146,11/30/2024,Tier2,345,0,748,Fashion,1,0,0.13,305,FALSE,0,46,88,Low-Engagement Reseller
147,2/18/2023,Tier3,1252,0,444,Fashion,2,0,0.14,92,TRUE,41,35,48,Low-Engagement Reseller
148,11/5/2023,Tier3,88559,0,488,Mixed,5,0,0.11,127,TRUE,42,125,54,Ghost Reseller
149,8/3/2023,Tier2,511,0,435,Beauty,2,0,0.06,192,FALSE,1,36,67,Low-Engagement Reseller
150,10/26/2023,Tier3,8582,0,643,Mixed,1,0,0.12,161,FALSE,0,50,61,Ghost Reseller
151,8/24/2024,Tier2,4087,0,667,Home,0,0,0.07,73,FALSE,0,48,44,Niche Specialist
152,8/28/2023,Tier2,3086,2,598,Home,64,19,0.08,13,FALSE,19,44,29,Niche Specialist
153,11/20/2023,Tier4+,10831,0,717,Mixed,3,0,0.15,365,FALSE,1,55,100,Ghost Reseller
154,1/17/2024,Tier3,16082,1,381,Fashion,64,21,0.13,4,TRUE,59,48,29,Social Catalyst
155,3/26/2024,Tier4+,1338,5,520,Mixed,13,2,0.12,21,TRUE,44,38,27,Low-Engagement Reseller
156,6/29/2023,Tier3,2482,0,791,Beauty,4,6,0.05,116,TRUE,41,51,52,Niche Specialist
157,5/25/2023,Tier3,1033,0,436,Fashion,5,5,0.15,110,FALSE,2,34,51,Low-Engagement Reseller
158,6/25/2024,Tier3,7088,1,502,Home,181,54,0.08,26,FALSE,54,44,33,Niche Specialist
159,11/18/2024,Tier4+,8358,0,606,Fashion,5,2,0.14,308,TRUE,42,48,89,Ghost Reseller
160,4/17/2023,Tier3,6541,0,397,Fashion,0,0,0.09,42,FALSE,0,40,38,Ghost Reseller
161,1/24/2023,Tier2,3741,0,520,Home,1,0,0.09,290,FALSE,0,41,86,Niche Specialist
162,5/12/2024,Tier2,2161,2,409,Fashion,143,48,0.06,1,FALSE,43,36,27,Social Catalyst
163,1/8/2023,Tier3,5213,0,407,Fashion,3,0,0.09,109,FALSE,1,39,51,Ghost Reseller
164,4/26/2024,Tier3,23950,2,303,Beauty,133,38,0.12,12,TRUE,80,53,29,Niche Specialist
165,2/6/2024,Tier3,870,1,671,Fashion,145,47,0.07,8,TRUE,84,45,30,Social Catalyst
166,5/12/2024,Tier3,3082,0,493,Fashion,3,4,0.12,304,FALSE,1,39,88,Low-Engagement Reseller
167,3/16/2024,Tier2,4748,2,559,Fashion,190,53,0.15,14,FALSE,57,43,30,Social Catalyst
168,5/2/2024,Tier4+,2049,18,653,Fashion,38,6,0.14,16,FALSE,11,44,6,Low-Engagement Reseller
169,8/25/2023,Tier3,943,2,409,Fashion,34,11,0.14,11,FALSE,10,33,29,Low-Engagement Reseller
170,3/5/2023,Tier3,5985,0,455,Fashion,5,0,0.14,338,FALSE,2,40,95,Ghost Reseller
171,3/7/2023,Tier2,4483,1,761,Mixed,15,9,0.13,20,TRUE,45,50,32,Low-Engagement Reseller
172,1/1/2023,Tier2,6696,0,691,Fashion,5,1,0.09,292,FALSE,2,51,86,Ghost Reseller
173,3/4/2024,Tier3,4345,0,683,Fashion,5,0,0.15,258,FALSE,2,47,79,Low-Engagement Reseller
174,8/30/2024,Tier3,619,0,326,Fashion,3,0,0.06,358,FALSE,1,32,99,Low-Engagement Reseller
175,7/26/2024,Tier4+,13366,0,641,Home,5,2,0.09,37,TRUE,42,56,37,Ghost Reseller
176,6/6/2024,Tier3,1428,0,794,Mixed,5,0,0.07,149,FALSE,2,50,59,Low-Engagement Reseller
177,1/3/2023,Tier3,1808,0,718,Home,2,0,0.14,140,FALSE,1,46,57,Low-Engagement Reseller
178,4/11/2024,Tier3,18013,0,538,Mixed,2,4,0.15,320,FALSE,1,55,91,Ghost Reseller
179,7/6/2024,Tier3,3068,0,654,Beauty,5,2,0.08,110,FALSE,2,46,51,Niche Specialist
180,11/5/2024,Tier2,252,0,362,Fashion,1,4,0.08,154,TRUE,40,32,60,Low-Engagement Reseller
181,5/7/2024,Tier4+,5190,0,500,Fashion,4,4,0.15,207,FALSE,1,41,70,Ghost Reseller
182,2/18/2024,Tier3,6114,1,412,Home,168,50,0.15,2,TRUE,90,39,29,Niche Specialist
183,4/21/2024,Tier4+,2613,2,395,Beauty,149,46,0.15,13,TRUE,85,34,29,Niche Specialist
184,4/6/2024,Tier2,4419,0,534,Fashion,3,0,0.09,131,TRUE,41,43,55,Low-Engagement Reseller
185,5/16/2023,Tier4+,8884,0,330,Fashion,5,0,0.07,219,FALSE,2,40,72,Ghost Reseller
186,7/14/2023,Tier2,944,0,636,Home,1,0,0.07,82,FALSE,0,43,46,Low-Engagement Reseller
187,11/18/2024,Tier3,3017,0,758,Fashion,1,4,0.06,124,FALSE,0,50,54,Low-Engagement Reseller
188,2/5/2023,Tier3,3415,0,605,Mixed,3,1,0.12,142,FALSE,1,44,57,Low-Engagement Reseller
189,5/24/2024,Tier3,3263,5,716,Home,127,39,0.11,5,FALSE,38,48,23,Niche Specialist
190,4/21/2023,Tier3,1595,1,742,Home,182,57,0.11,9,FALSE,55,47,30,Low-Engagement Reseller
191,5/29/2023,Tier4+,4954,0,659,Fashion,0,1,0.05,215,FALSE,0,49,71,Low-Engagement Reseller
192,6/30/2023,Tier4+,3064,0,403,Home,0,0,0.13,323,TRUE,40,36,92,Niche Specialist
193,1/19/2024,Tier3,4233,0,674,Fashion,4,2,0.13,312,FALSE,1,47,90,Low-Engagement Reseller
194,12/8/2023,Tier2,8767,5,383,Fashion,58,12,0.1,19,FALSE,17,41,26,Social Catalyst
195,8/2/2024,Tier3,651,6,393,Fashion,76,25,0.11,13,FALSE,23,33,23,Social Catalyst
196,12/17/2023,Tier2,2489,0,470,Beauty,1,3,0.07,356,FALSE,0,39,98,Niche Specialist
197,10/1/2024,Tier4+,10537,0,582,Fashion,3,0,0.05,318,FALSE,1,51,91,Ghost Reseller
198,4/17/2024,Tier4+,3553,5,710,Fashion,27,5,0.11,16,FALSE,8,48,26,Low-Engagement Reseller
199,4/2/2024,Tier3,4611,0,483,Fashion,0,2,0.09,278,FALSE,0,41,83,Low-Engagement Reseller
200,8/8/2024,Tier2,5512,0,337,Fashion,5,0,0.1,173,TRUE,42,36,63,Ghost Reseller
201,12/28/2024,Tier3,8071,0,309,Fashion,5,1,0.08,276,FALSE,2,38,83,Ghost Reseller
202,9/23/2024,Tier4+,4584,0,417,Fashion,1,0,0.05,49,TRUE,40,39,39,Low-Engagement Reseller
203,10/25/2024,Tier4+,30798,1,574,Beauty,123,40,0.12,10,FALSE,37,70,30,Niche Specialist
204,12/24/2024,Tier2,1154,2,762,Fashion,29,4,0.14,24,TRUE,49,47,32,Low-Engagement Reseller
205,5/28/2024,Tier4+,2016,0,449,Mixed,2,1,0.12,79,TRUE,41,36,45,Low-Engagement Reseller
206,12/19/2023,Tier4+,1207,5,756,Fashion,78,25,0.11,14,TRUE,63,47,25,Social Catalyst
207,3/10/2023,Tier3,4945,0,423,Home,5,7,0.07,314,TRUE,42,39,90,Niche Specialist
208,2/13/2024,Tier2,9435,0,771,Beauty,0,4,0.12,224,FALSE,0,56,73,Ghost Reseller
209,6/4/2023,Tier4+,4751,0,410,Fashion,4,0,0.07,197,TRUE,41,39,68,Low-Engagement Reseller
210,3/31/2023,Tier3,4047,4,622,Home,149,48,0.13,17,FALSE,45,45,27,Niche Specialist
211,11/2/2023,Tier2,1123,0,479,Home,5,1,0.09,217,FALSE,2,37,72,Low-Engagement Reseller
212,2/14/2024,Tier2,245,0,377,Fashion,3,0,0.1,192,TRUE,41,32,67,Low-Engagement Reseller
213,10/24/2023,Tier4+,7146,2,543,Fashion,166,45,0.06,6,TRUE,90,46,28,Social Catalyst
214,10/2/2024,Tier3,9009,17,412,Fashion,68,16,0.14,28,FALSE,20,42,10,Social Catalyst
215,11/12/2023,Tier2,1242,1,627,Home,16,3,0.15,30,FALSE,5,42,34,Low-Engagement Reseller
216,11/8/2023,Tier3,2804,0,420,Beauty,3,6,0.13,302,TRUE,41,36,88,Niche Specialist
217,5/29/2024,Tier2,21369,0,572,Fashion,2,3,0.12,254,TRUE,41,60,79,Ghost Reseller
218,12/15/2024,Tier2,5674,5,358,Fashion,123,39,0.09,19,TRUE,77,37,26,Social Catalyst
219,5/12/2024,Tier2,2262,0,657,Mixed,0,4,0.12,241,TRUE,40,44,76,Low-Engagement Reseller
220,10/23/2023,Tier4+,1386,0,321,Fashion,5,3,0.12,98,FALSE,2,31,49,Low-Engagement Reseller
221,3/6/2023,Tier4+,5269,3,691,Fashion,169,51,0.14,7,TRUE,91,48,27,Social Catalyst
222,11/5/2023,Tier4+,6022,0,356,Home,4,1,0.12,32,FALSE,1,37,36,Ghost Reseller
223,8/13/2024,Tier2,115,0,514,Home,2,2,0.09,310,TRUE,41,38,89,Low-Engagement Reseller
224,7/16/2023,Tier3,2252,0,561,Mixed,3,0,0.05,129,FALSE,1,42,55,Low-Engagement Reseller
225,4/14/2024,Tier4+,6858,0,699,Beauty,5,5,0.05,138,TRUE,42,52,56,Ghost Reseller
226,3/20/2023,Tier3,3494,0,508,Home,3,4,0.09,39,FALSE,1,41,37,Niche Specialist
227,2/27/2023,Tier3,4296,2,531,Home,49,17,0.15,26,FALSE,15,41,32,Niche Specialist
228,10/26/2024,Tier2,2910,0,382,Fashion,4,0,0.08,259,FALSE,1,36,80,Low-Engagement Reseller
229,7/17/2024,Tier2,932,0,708,Fashion,0,0,0.07,128,FALSE,0,46,55,Low-Engagement Reseller
230,7/11/2024,Tier3,11664,0,694,Fashion,1,2,0.07,201,FALSE,0,56,69,Ghost Reseller
231,10/23/2024,Tier3,3941,1,381,Home,87,23,0.09,5,FALSE,26,36,29,Niche Specialist
232,11/30/2024,Tier4+,4494,0,393,Fashion,0,0,0.13,96,TRUE,40,37,48,Low-Engagement Reseller
233,5/26/2024,Tier3,2715,0,717,Fashion,0,4,0.09,310,FALSE,0,48,89,Low-Engagement Reseller
234,11/19/2024,Tier4+,12039,0,323,Home,0,3,0.14,66,TRUE,40,41,43,Ghost Reseller
235,12/3/2023,Tier3,1983,0,303,Fashion,3,0,0.07,314,TRUE,41,32,90,Low-Engagement Reseller
236,5/17/2024,Tier3,1780,1,616,Home,150,47,0.11,2,TRUE,85,43,29,Low-Engagement Reseller
237,4/20/2024,Tier3,11330,0,576,Fashion,2,2,0.1,179,FALSE,1,51,64,Ghost Reseller
238,3/5/2024,Tier2,3581,0,569,Beauty,5,2,0.07,338,TRUE,42,44,95,Niche Specialist
239,10/24/2023,Tier3,2402,0,706,Beauty,3,6,0.13,127,FALSE,1,46,54,Niche Specialist
240,6/26/2023,Tier3,7837,0,612,Fashion,0,5,0.11,95,TRUE,40,49,48,Ghost Reseller
241,11/28/2024,Tier2,8605,0,343,Home,1,0,0.07,314,FALSE,0,40,90,Ghost Reseller
242,12/9/2023,Tier4+,2587,0,465,Fashion,3,0,0.11,148,FALSE,1,38,58,Low-Engagement Reseller
243,12/22/2024,Tier4+,14534,0,679,Mixed,1,0,0.14,63,TRUE,40,57,42,Ghost Reseller
